Ejecución,Tmax,Tiempo (s),Iteración óptima,Eficiencia,sA,sB,sRail,pRail,pA_x,pA_y,pA_z,pB_x,pB_y,pB_z
1,1.7019609271456813,2.5066165924072266,48,0.6789873378725244,0.38832475939114297,0.8863445304093984,0.6820536447365297,0.0017078708491337696,0.34424854918086323,0.3341610883669135,0.45452226408714036,0.5442485491808633,0.3341610883669135,0.45452226408714036
2,0.9387054377625712,2.536527633666992,54,0.37007498964460683,0.4055356254560901,0.9021467956284788,1.0,0.12973065114801852,0.36520347505097633,0.07118449440832497,0.08046929988466556,0.5652034750509763,0.07118449440832497,0.08046929988466556
3,1.7282877920545352,1.1638305187225342,97,1.4849995461122392,0.2481474396050632,0.6247901477637383,0.9831056647794075,0.0,0.07570461446073355,-0.18432368032865565,0.3797673419352168,0.2757046144607336,-0.18432368032865565,0.3797673419352168
4,1.1368302966099286,1.4379351139068604,15,0.7905991623788698,0.4447456823022217,1.0,1.0,0.13277823429360106,0.29098658623441703,-0.15125589861358624,0.38480493424440265,0.49098658623441704,-0.15125589861358624,0.38480493424440265
5,0.8874830630225915,0.8994367122650146,84,0.9867098495320246,0.5586180263491344,0.9093016696709417,0.9315324834167718,0.39126894819238783,0.46537937015166314,-0.032695140053692895,0.16768533948687503,0.6653793701516632,-0.032695140053692895,0.16768533948687503
6,1.3603135056281106,0.8975927829742432,116,1.5155129713951203,0.19694095587118238,0.9278116473606618,0.9733673119615875,0.11184515803392994,0.013391236862489008,-0.12893555764601217,0.23445005480205816,0.213391236862489,-0.12893555764601217,0.23445005480205816
7,1.1279866240310885,2.00077486038208,39,0.5637748886027493,0.44394150437852553,0.8483375860080627,0.8864306167040127,0.24077639427682196,0.38465642824226104,-0.30546545841884953,0.09739263806929443,0.584656428242261,-0.30546545841884953,0.09739263806929443
8,1.1899152420806833,3.653632402420044,105,0.3256800660330588,0.30471825494995824,0.9635351045206554,0.9432265523644654,0.07074478189171561,0.21189769698997704,0.2551729118133934,0.1464816013316801,0.411897696989977,0.2551729118133934,0.1464816013316801
9,1.892471385830913,0.9239041805267334,107,2.048341619963212,0.37839561471566246,0.8129122383732742,0.6209046079135039,0.12146206079419374,0.26344014547856104,-0.39505540754993584,0.5360352998447765,0.46344014547856105,-0.39505540754993584,0.5360352998447765
10,1.6210102780404156,0.8865141868591309,89,1.828521530809972,0.34636746027681264,0.8368553902402728,0.8392530355779638,0.18456998396967408,0.0986569345346741,-0.23174071538447794,0.5018029866680248,0.2986569345346741,-0.23174071538447794,0.5018029866680248
11,1.5265602352123693,1.1860332489013672,146,1.287114199055073,0.2650818669453807,0.8034876183523934,0.7042432066024535,0.0,0.25739399148844505,0.06653331931192752,0.30508056177394316,0.45739399148844506,0.06653331931192752,0.30508056177394316
12,0.9453113758252002,0.896592378616333,109,1.0543379559884871,0.5737284722419,0.9795461332257872,0.9177152752089568,0.6009830123422941,0.4109679915321441,-0.33684151574400095,0.10857140745857563,0.6109679915321441,-0.33684151574400095,0.10857140745857563
13,1.630296860915484,2.019556760787964,131,0.8072547860845448,0.2973843370875393,0.8686061610841423,0.5966490422547668,0.34129047195959517,0.12929047195959517,0.1330999750594254,0.44791004844126925,0.32929047195959515,0.1330999750594254,0.44791004844126925
14,1.2158428761897713,1.421635627746582,121,0.8552422663442879,0.25039738041060494,0.8200905838076997,0.8361835387784692,0.056083311011862036,0.2692480800344419,0.11200704009978724,0.08742524705363064,0.4692480800344419,0.11200704009978724,0.08742524705363064
15,1.4522988573254976,2.032897472381592,105,0.7143984765862746,0.3542585025350042,0.9943622088227739,0.7553076336995961,0.1261331979789434,0.1831706735374018,-0.03605270499924573,0.47942451354994386,0.3831706735374018,-0.03605270499924573,0.47942451354994386
16,1.009059111770056,3.3458616733551025,143,0.30158422860267564,0.48555008868093175,0.9941833096654654,0.9743864974070185,0.40054706693175307,0.34552385316368023,0.04613788970204191,0.3442881526064646,0.5455238531636802,0.04613788970204191,0.3442881526064646
17,2.266059909046247,1.9758861064910889,134,1.1468575549986877,0.07407231265924538,0.4763368931692678,0.6150821880702864,0.0,0.038159550512777786,-0.03682624578402871,0.15925473638194743,0.2381595505127778,-0.03682624578402871,0.15925473638194743
18,1.0335366868705227,2.034940242767334,63,0.5078953500202082,0.4975225753858003,0.9785814075711263,0.8172644461081702,0.5644285886621259,0.3524285886621259,-0.17063307973345165,0.3332988746119667,0.5524285886621259,-0.17063307973345165,0.3332988746119667
19,1.246384674205541,2.383793830871582,110,0.5228575802420916,0.5121249153258121,0.8293908418196166,0.897161699361417,0.24012676555620865,0.4184986612211185,-0.2854426143415953,0.3883480485846842,0.6184986612211185,-0.2854426143415953,0.3883480485846842
20,1.4397857644705716,1.1683440208435059,116,1.2323303229053149,0.4717115230321217,0.9865690890598966,1.0,0.08261227429248574,0.16058700474771173,0.02259956715083289,0.6595181451519073,0.36058700474771177,0.02259956715083289,0.6595181451519073
21,1.1858276373886025,0.8992791175842285,49,1.3186424706204025,0.22635409488500688,0.8349938406944748,1.0,0.035610516367741735,0.1924618598409633,-0.11199396111135407,0.14987527556541436,0.3924618598409633,-0.11199396111135407,0.14987527556541436
22,1.884134784462109,2.255030632019043,135,0.8355251399734415,0.20822632119747014,0.5567017614782976,0.7902341416184158,0.1618366339555259,0.14893305886348776,0.2133794042529792,0.2936123676540031,0.3489330588634878,0.2133794042529792,0.2936123676540031
23,1.4462518989957203,3.1578378677368164,127,0.45798801571539555,0.4212431327242714,0.7433359049741505,0.8461576964867656,0.4884159319294717,0.31722540944664307,-0.43398028210435097,0.286674819783327,0.5172254094466431,-0.43398028210435097,0.286674819783327
24,1.385332823192452,3.121525526046753,46,0.4437999342414165,0.45524926339188654,0.8753389776655228,1.0,0.39110274484254165,0.21017514985976615,-0.3526460524637,0.47876210982846945,0.41017514985976616,-0.3526460524637,0.47876210982846945
25,1.259122174998222,0.8899650573730469,137,1.4147995638332522,0.20474261037338481,0.983583870747296,0.9816687548296901,0.10848247516258923,0.06304244502659136,0.010286287526142468,0.24975618813524436,0.26304244502659135,0.010286287526142468,0.24975618813524436
26,1.1953547906120465,1.188398838043213,76,1.0058532138758123,0.4315401095035471,0.6919356793357158,0.8451573429125308,0.6668045606922763,0.45480456069227626,0.2113638020230666,0.12071225906085103,0.6548045606922763,0.2113638020230666,0.12071225906085103
27,1.3506705645047858,1.7332110404968262,146,0.7792879995257906,0.2741395598816469,0.6050901278188076,0.7272065494444954,0.3118195355266898,0.3687104992499891,0.030273028797011103,0.01541557052978848,0.5687104992499892,0.030273028797011103,0.01541557052978848
28,1.4710230837787528,0.8889143466949463,71,1.6548535741920836,0.5125178963269517,1.0,0.9072646596116485,0.0,0.3469743020426045,-0.395696052701226,0.5398493911403064,0.5469743020426046,-0.395696052701226,0.5398493911403064
29,1.2333963101748842,1.1723763942718506,141,1.0520480591396864,0.3772032605020006,0.8353791018063399,0.8502991244908715,0.49390681198203573,0.2973497089635474,0.3253221580323824,0.14898870033319123,0.4973497089635474,0.3253221580323824,0.14898870033319123
30,1.336639320817696,1.4385945796966553,76,0.9291285673407322,0.36406709183136376,0.8481569270630829,0.6615991930328993,0.47785375889903053,0.2786243654751773,-0.02849473998567087,0.3979469284339413,0.47862436547517734,-0.02849473998567087,0.3979469284339413
