Métrica,Valor
Media Tmax,1.309746109282237
Desviación típica,0.2252594462746337
Mejor valor (mínimo),0.8585758181344758
Peor valor (máximo),1.666720631201511
IC 95% (low),1.2291380516719534
IC 95% (high),1.3903541668925203
Tiempo medio (s),1.9813202222188313
