gen,HV,diversity
0,9139.01603160282,0.9838443208200645
1,7665.8048078452375,1.279802364502709
2,142.79861622498117,0.40713616886043
3,2247.643768719794,1.243612210660863
4,4203.255972645899,1.627339088094343
5,141.64513397346036,0.23742960426074938
6,4094.0327151824913,1.4485768626819298
7,770.343512843881,0.6282825030609065
8,3256.7786404433914,1.0401672289015311
9,1444.724878268928,0.7114746771069866
10,64.71053915037541,0.2156697541252842
11,4804.568025522084,1.6968892321515137
12,285.8702128955461,0.4280292722943847
13,23.296740202934433,0.14504182206128052
14,279.0180764107053,0.2848850905107722
15,1164.6254176583057,0.7332226680698076
16,208.86949271469263,0.283811409757145
17,149.6503338761866,0.23490213153819123
18,4127.951586034701,1.3620153550375793
19,734.2279907328541,0.626770144688882
20,3667.359443574985,1.370332615857208
21,234.7774355259838,0.38044267645438834
22,63.69192545573666,0.20390346944000046
23,54.14048431430544,0.1786690940114138
24,26.72837178006807,0.0925375614664317
25,29.0588615164841,0.13591677368925248
26,229.31663790872327,0.31629116571030635
27,291.3059300758362,0.4267027852587361
28,5.012879119634779,0.06376159311270184
29,14.97609814007822,0.07524093548719402
30,2.1792615360621586,0.05196776125000708
31,2.4449448422616644,0.044807803934822275
32,4.334721443276747,0.043662140370354735
33,3.283455098567375,0.05648738692916001
34,3.3053583647573515,0.04368783109664626
35,4.033500576049014,0.04408858539304507
36,1.5494850797015753,0.02047000588813619
37,1.462142653602384,0.03229678296261438
38,2.504487794918163,0.03374905157836551
39,1.6291116709184428,0.03524343281371375
40,2.3587252444498263,0.037963027615000824
41,2.8748518671187764,0.0454019015126399
42,1.0430406982565554,0.020324026795158937
43,0.920910801823967,0.022640207830501864
44,0.5004183446068844,0.014027298685151412
45,0.5165616281895004,0.01658976073871014
46,0.11074093482052022,0.0036717446112647955
47,0.12351180806342092,0.0036672693443156293
48,0.21634022826286284,0.005311198034099229
49,0.1441609543372731,0.003721037552887578
50,0.14354249533049984,0.0035448726751783175
51,0.15597949285416954,0.004973301068458203
52,0.2044190234069147,0.004452893192964874
53,0.15949794725802638,0.004734022497961187
54,0.12169300304573538,0.003503001905087585
55,0.13555622117602273,0.0038954575811650733
56,0.14764567241960788,0.004045689103139376
57,0.08548255684688413,0.0026166390832137233
58,0.09441576495171604,0.0026593043414714014
59,0.1185769951572611,0.003586074059276603
60,0.11521116221536913,0.003023203678182302
61,0.37071643476711946,0.006695285126150917
62,0.10636728376488523,0.0029791039503455825
63,0.14616472674249456,0.0034879675789209526
64,0.0364787365624313,0.0013434956761672564
65,0.12447522458064096,0.0035178063529506588
66,0.07472464163572617,0.002209035788765914
67,0.11546150094408807,0.0037609428709061863
68,0.04320749741246409,0.0015101946378897385
69,0.15115131947554547,0.003368010006953786
70,0.09106723944148629,0.0024932281071006596
71,0.12865558289489654,0.003945637337241627
72,0.10363995883418117,0.0027745776382753274
73,0.09296683266460462,0.002868290958227158
74,0.12099374232304064,0.003558483531321197
75,0.13680884238197988,0.003273931118384416
76,0.08657807477545312,0.002905498118098686
77,0.11504712613304087,0.003052722203429221
78,0.10865712910540519,0.003235471324316422
79,0.04536560621906421,0.0013953250939000418
80,0.017147454587870033,0.0006917093758166718
81,0.04598720473150497,0.001360784600317592
82,0.050874063558497495,0.001742134838308249
83,0.04453270136285314,0.0013013550080982514
84,0.047061034458194866,0.0014621445965763047
85,0.0981560456364087,0.0023782506277946966
86,0.06924222611093313,0.002352434275551461
87,0.03493404478624959,0.0009176276174874353
88,0.039938478275745745,0.0013985102731915646
89,0.02194453937274043,0.0007193978157518227
90,0.03194904119685096,0.0008287391320111313
91,0.04991843920682788,0.0016226473263317783
92,0.032769635094201,0.0010500577892550253
93,0.022920684945466074,0.0008722153459099621
94,0.03857293212778026,0.0013241266479774453
95,0.04265553421986468,0.0010302053625976368
96,0.05551469548050052,0.001792121825969745
97,0.04226488271419009,0.0011244578189709025
98,0.043371142279694005,0.00167591892416691
99,0.03649439447264257,0.0012919579797941007
100,0.05723628432036569,0.0014494751146925894
101,0.022859828020187038,0.0009430863153867648
102,0.03656596518155264,0.0012842609832218398
103,0.014030084458518695,0.0006450369079710863
104,0.032332305728510445,0.000978334678877341
105,0.017633012932061883,0.0006019600073787044
106,0.04009789199787498,0.0014185643773055947
107,0.03511973735722831,0.0011380362759852534
108,0.03480383985123528,0.0012253889370428348
109,0.021560278273803957,0.0006561334693924962
110,0.015415753227174063,0.0004407626303180354
111,0.011865293573300385,0.00045691711172573423
112,0.011872314261679574,0.00042870289539080836
113,0.014379437694510666,0.0005195996243823084
114,0.012918469876770523,0.0005073057552913855
115,0.006203479444360945,0.0001819860093231339
116,0.010764023702869776,0.00033916479988121636
117,0.011963324815376247,0.0004581937032926732
118,0.008354787571550615,0.0004122368670726127
119,0.011209063510690707,0.00038121509870138915
120,0.019635046394567056,0.0006151314222953023
121,0.007935789125548175,0.0002658151492952568
122,0.010699098831511577,0.00034092481674774554
123,0.011189556390647386,0.0004249911622095451
124,0.01020324517751427,0.00042053418331589563
125,0.01186674824066631,0.000431661155683289
126,0.010050961311590762,0.0003557024544943552
127,0.011661779475715905,0.00039020931556728674
128,0.008801926401096834,0.00026659834910788116
129,0.008188763585660327,0.0002667872534753446
130,0.009117269210571589,0.0003452155571817796
131,0.00934058929010076,0.0002436160847031007
132,0.009023494204151316,0.00021361580871813598
133,0.004128910697134005,0.00019068594326539527
134,0.006441843963484497,0.00020964424777664516
135,0.008250049492172395,0.0002983948026028449
136,0.007150012708806026,0.0002159848847079639
137,0.012274016487214,0.00039165310490297915
138,0.009683001239511633,0.000387258895578047
139,0.014447385374714624,0.00047813934967756597
140,0.01070449154160071,0.00041775004952446075
141,0.010135479813924111,0.00029967718291563586
142,0.010089232738868324,0.00040855384890484223
143,0.009550064801322136,0.00037476987286596343
144,0.013520317423126317,0.0004271312814908299
145,0.00996302743175289,0.00029668720253575093
146,0.006150334527836206,0.000183984041034922
147,0.009468940933916918,0.0003959508524501023
148,0.010190859820509388,0.00027618029883958394
149,0.008643347893046613,0.00023597922471736666
