gen,HV,diversity
0,7246.312045216053,1.603245919066925
1,7546.247237496963,1.568155420824744
2,1433.7297766265876,0.7012452988832767
3,47.53318847457808,0.14932639088622854
4,1618.2546279986084,1.1700740996013368
5,1475.071513334402,0.7954464718723969
6,1631.091343586796,0.8383155880756876
7,154.69909981996204,0.2295528543764613
8,240.18491659498088,0.2990077835212783
9,86.39308169348371,0.22992841363106506
10,48.94537289207999,0.17472993305484566
11,4.112874267272334,0.05275258808403167
12,8.627246309563997,0.04714103011465902
13,5.840473601591042,0.06902636251091375
14,16.835258829195006,0.0938458966379465
15,2.6573987835067228,0.03108425917367177
16,1.7778459977719385,0.02695863568790611
17,3.652658400138598,0.0274142050238203
18,1.2842956806863761,0.01998046219486539
19,0.43502440660525765,0.010716517609004576
20,0.2032751205473208,0.005452290034222254
21,0.273008423807707,0.006046589521211524
22,0.3961896761804637,0.008719500405611754
23,0.3684986531659358,0.010549767226790444
24,0.3880305103088496,0.009662997114423292
25,0.3625885377184601,0.007895720088200619
26,0.5094259226359811,0.011972311158332867
27,0.16330787036452585,0.005854127704079118
28,0.40320597236392214,0.007206486472467481
29,0.2210091908193983,0.004760536012173738
30,0.1687520325406462,0.0036963350043130814
31,0.2948665689338661,0.008271478017563387
32,0.06954862642175647,0.0028046309674303804
33,0.19170953543771643,0.004872619371699276
34,0.22819900767345394,0.00515670577446941
35,0.16241269405715664,0.003671948172438239
36,0.13027714569310614,0.0035461857587838655
37,0.17139174443887423,0.004100030491712597
38,0.21689636573238957,0.005372732152930097
39,0.22587138959680497,0.006895264629496282
40,0.15315585621717837,0.0035051343535753986
41,0.31586453490348954,0.005507463194107884
42,0.24459852325270215,0.0056799620896995735
43,0.24418880879195595,0.005636162775664919
44,0.10740444820257315,0.003481896167306084
45,0.18665288400778648,0.004896463914533295
46,0.39583663859265766,0.005725977205771651
47,0.03936588482153264,0.0023198331787214494
48,0.227960414439185,0.005232513634105419
49,0.13087706486065853,0.0034952183329132656
50,0.11707974794649813,0.0030091769996819597
51,0.029469480348893226,0.0010546680163323724
52,0.019742136840895482,0.0005011405492970083
53,0.024033093380832968,0.0010749197812975442
54,0.02708312874264836,0.0007740316693626538
55,0.013216229131108802,0.0004161920398103971
56,0.013291868379187298,0.0003707961784513567
57,0.01431369595732727,0.0005093302028108416
58,0.035791088722866515,0.0007944517626519367
59,0.011644041015578099,0.0002802299278401105
60,0.011731371627170972,0.00038366046309931315
61,0.01782680479605693,0.0004638578136191176
62,0.013582877792715805,0.0003495814094244381
63,0.007591632373426985,0.00021374236195411805
64,0.011437221363876501,0.00028919257436553063
65,0.0151957774257035,0.0004681287591395748
66,0.013145803725078174,0.0004837871482367669
67,0.016138838921691153,0.0005095172085982991
68,0.015182337669071578,0.0004931967005712052
69,0.009237548607184237,0.0002496043570136349
70,0.029089949230347734,0.0005941836986867165
71,0.01379353039716516,0.0006107890924576816
72,0.015543391095869786,0.000542036785017925
73,0.023769122599985537,0.0006253085555413515
74,0.013413240108954158,0.0004882182344069001
75,0.015609397201169214,0.00032821090877111007
76,0.0152226471392421,0.0006576982635602153
77,0.016740091150427114,0.0006953940049061178
78,0.017580221551864506,0.0006904881979599029
79,0.01712741026467975,0.0005819080524092624
80,0.011765095070763192,0.0003430708605670725
81,0.012035648988206155,0.00033394547516224
82,0.011564429307043392,0.0004425322209575532
83,0.010882984228442137,0.00031476057659662627
84,0.01173471776479265,0.0005181188074931268
85,4.032059268583585e-06,0.00021552553302218674
86,4.339545246384501e-06,8.875928124767374e-08
87,2.045835004154043e-06,7.000173748601298e-08
88,1.878801349509717e-06,6.070442732682482e-08
89,1.3745782232012629e-06,7.349140047032239e-08
90,3.474522724852039e-06,8.897822227519637e-08
91,3.024026975271128e-07,9.482415133347757e-09
92,1.4770800104920824e-07,4.584909035492858e-09
93,2.655067901587677e-07,7.133470435712599e-09
94,1.2449256561397483e-07,4.365353192017303e-09
95,2.0402302155390856e-07,7.165360021055155e-09
96,2.0707957377021676e-07,6.326901251658305e-09
97,9.347867942993632e-08,4.745641786939311e-09
98,1.434551172354287e-07,4.26334912697924e-09
99,2.533795371009107e-08,7.328148026393357e-10
100,1.4909753650503962e-08,4.6528354995484107e-10
101,9.846763148993991e-09,3.371983173202686e-10
102,1.1852419338626523e-08,2.426318185085691e-10
103,5.489486075045686e-09,1.7792459313830532e-10
104,2.046791483012452e-09,6.682659236888409e-11
105,9.288129981561894e-10,3.0363425347698926e-11
106,4.570877237632898e-10,1.1470942051734794e-11
107,3.328193646209256e-10,1.0113380460780752e-11
108,2.3241190836291703e-10,7.154942783851593e-12
109,6.525085292109206e-11,2.046443302838769e-12
