sA,sB,sRail,pRail,pA_x,pA_y,pA_z,pB_x,pB_y,pB_z,qA1,qA2,qA3,qA4,qA5,qA6,qB1,qB2,qB3,qB4,qB5,qB6,Tmax,DeltaT
0.634197437964584,1.0,1.0,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110067731121221,1.1429056590017694e-08
0.6341963996361207,1.0,0.9999887544117618,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.211008744385567,3.469224907348689e-12
0.6341963996361207,1.0,0.9999887544117618,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.211008744385567,3.469224907348689e-12
0.6341974209313166,1.0,0.9999998225740666,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.211006804213256,1.0004983952427438e-08
0.6341966925515247,1.0,0.9999919455440218,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110081850589116,6.363687354848935e-11
0.634197437964584,1.0,1.0,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110067731121221,1.1429056590017694e-08
0.6341967250976807,1.0,0.999992300114273,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110081229115373,7.013367664399084e-11
0.6341966925515247,1.0,0.9999919455440218,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110081850589116,6.363687354848935e-11
0.6341967250976807,1.0,0.999992300114273,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110081229115373,7.013367664399084e-11
0.634196905576656,1.0,0.9999942635292636,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.211007778668256,3.839202289412924e-10
0.6341972791997934,1.0,0.9999983193542515,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110070677143026,2.8681030883603853e-09
0.6341972291562442,1.0,0.9999977869255411,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.211007161044504,6.395590723684563e-10
0.634196905576656,1.0,0.9999942635292636,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.211007778668256,3.839202289412924e-10
0.6341972866816252,1.0,0.9999983809985215,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110070569085956,6.349040626574265e-09
0.6341967738097625,1.0,0.9999928287197896,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110080301803583,2.8526181417021235e-10
0.6341973305224988,1.0,0.9999988567434863,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.2110069735146645,6.669758523258906e-09
0.6341973941461061,1.0,0.9999995493601248,0.5247092308647671,0.31270923086476704,0.30428416176678486,0.6320401825044508,0.512709230864767,0.30428416176678486,0.6320401825044508,0.509385457352594,0.28751509461419467,-1.9185104535467241,1.678169935806114,2.6290500897708187,1.6938384949103735,-0.5470093323105143,-1.7773953954989534,-1.817187237068542,-9.316329210307117e-06,0.4529888763201133,-2.594573102075037,1.211006852105168,6.750246583919761e-09
