Métrica,Media,Std,Min,Max,IC_low,IC_high
HV,5.210061917890903e-06,1.3165272828466813e-05,0.0,5.4426559334122866e-05,4.98929540701641e-07,9.921194295080164e-06
diversity,5.874418582170757e-05,0.00012256923027751177,0.0,0.0006360250159461384,1.4883350066069156e-05,0.00010260502157734597
Tiempo medio (s),3.469888989130656
