gen,HV,diversity
0,18484.412186955906,2.476396165295051
1,110.73368570742909,0.2745383870091155
2,937.0547383584706,0.7738011485443848
3,101.11077716596836,0.21158304803244427
4,1020.1355734140349,0.430299701665843
5,1085.969911891877,0.8870315029838592
6,159.73117401083044,0.299321646454653
7,1123.634069695847,0.8631899899075238
8,91.53215227863306,0.2020298074665098
9,91.7598099175088,0.16646029170907095
10,61.77559342850586,0.20082124148699942
11,52.3441324787324,0.11147708771776453
12,12.218548750107194,0.0951390007386907
13,13.21653314885808,0.0874458214161337
14,12.493992073262035,0.07831315889515564
15,3.225240991107461,0.06734240027030075
16,3.442332983747782,0.0584543091114773
17,2.7433045831422778,0.04631550676824818
18,1.8864047020633334,0.0410296705565065
19,1.4406790395750761,0.038007838417801136
20,1.8337582542802418,0.035955095245212794
21,1.4994138683033218,0.024626252588216747
22,1.4957314841608633,0.02782628251688101
23,1.450931506876745,0.02616928104933185
24,0.720385153280901,0.020613017340530056
25,1.6610618858231192,0.0325762116791445
26,0.8256291891810271,0.022084919499488584
27,0.6510015652492217,0.01858109085784956
28,1.1772874841038121,0.024717201085487736
29,0.5575156263862818,0.013792412587296167
30,0.6296329117055363,0.014914900748787983
31,0.408543477449089,0.008736969308923807
32,0.31371534172048476,0.007082147450121365
33,0.30029431827082054,0.006053355127894848
34,0.41459672291621247,0.010376518669695684
35,0.3565691115794221,0.008988835043876998
36,0.2549568722019749,0.00442592963477132
37,0.20520431220097085,0.005696195296487742
38,0.19900115434723734,0.005626972076110385
39,0.26515568624022584,0.004308479614551458
40,0.24137535710953137,0.004881598182958016
41,0.22822379950145855,0.0056189177813940365
42,0.20119132117332578,0.005000358305911326
43,0.24687913801167483,0.008784164204728656
44,0.46173146613619886,0.011240195049508754
45,0.24122273867381325,0.006999499901858786
46,0.22167522481217894,0.008441641887927185
47,0.24862721113695074,0.006939537266789624
48,0.22865183442260967,0.0063745166223718045
49,0.2424716003368418,0.006815013647983845
50,0.2299669629634204,0.006934535442065797
51,0.27300088034633785,0.007368079396244054
52,0.015241843762882595,0.0031932734508363053
53,0.2625306245371727,0.005894021051055703
54,0.22469646678508665,0.006786409307083499
55,0.23803127295846493,0.007058123881332468
56,0.04628930662572623,0.0032979350784194342
57,0.23444365679700474,0.006815006873406547
58,0.23524731278454608,0.005471688845694679
59,0.007273772430604928,0.00323286888516693
60,0.009556557786954358,0.0033977911656776706
61,0.23617918742972038,0.005770870202341463
62,0.012429341392843823,0.000378732140947473
63,0.010118881648192942,0.00038618046606945914
64,0.009332347680195889,0.0002863856594254291
65,0.008924739879418313,0.00024347752068575352
66,0.00844528555114827,0.00020861515747727067
67,0.00968654043025406,0.00026514545431618493
68,0.007720738629070259,0.0002778568238613289
69,0.009308862996911138,0.00034146132703975345
70,0.012050645169213656,0.00022508798307401646
71,0.00908426993461151,0.00032059902840986845
72,0.009374022245006565,0.00027161750936157347
73,0.007066844824979274,0.00015843731084514402
74,0.007093959840606857,0.0001883785103400135
75,0.006390613866396941,0.00021719822143239967
76,0.0060491620065136085,0.00018046993410274445
77,0.00662309171090168,0.00024081168744663763
78,0.0033630439536167928,0.00012010789118470103
79,0.0037417526862692967,0.00014666778167808322
80,0.0033580667016834894,0.00010778640354417127
81,0.004495401818630326,0.00013087786332317735
82,0.005585949242426817,0.0001537759274143754
83,0.004486574182230672,0.00011650533337875368
84,0.004500548310544235,8.936007488082246e-05
85,0.0034358815447476194,0.0001038787332894875
86,0.00428441799749391,0.00013194721829350511
87,0.004444140463636707,0.00012041942330099591
88,0.00394868699304128,0.00012647091930248613
89,0.0035296459269472695,8.376154630080089e-05
90,0.004410474496342983,0.00010339835787468261
91,0.0035310598153224927,8.256142189274323e-05
92,0.00458892048077884,0.0001278701957095206
93,0.0028443240244717624,7.637731507567266e-05
94,0.0032022257741661274,8.474119483512567e-05
95,0.00456620155147382,9.074509184371701e-05
96,0.0033686344037366796,7.753583559735884e-05
97,0.003082311824285505,9.902143434034848e-05
98,0.0032500202923151167,8.173944692586219e-05
99,0.0010739683882129453,2.7277805129336116e-05
100,0.004687177005274198,0.00011994947846298791
101,0.0033872699244773415,0.00010290519790028831
102,0.002679542830088812,5.07579337751121e-05
103,0.00477200964982672,8.64111517732345e-05
104,0.001577506982614275,5.011408303884463e-05
105,0.0016256329461962545,4.295577379416443e-05
106,0.0017847556655534544,5.666030614255611e-05
107,0.003336400068934678,5.9134804877421975e-05
108,0.0017240525009546961,4.9210449037451893e-05
109,0.003425850177713792,7.705755050628092e-05
110,0.0030434361808868863,8.513274432459836e-05
111,0.0013990090567303716,4.2696618592821714e-05
112,0.0021512713062389268,6.84287493642213e-05
113,0.002664979832930561,5.066657611376232e-05
114,0.0013284360589342044,3.0409719134062405e-05
115,0.0018716161456115755,4.8205913427176646e-05
116,0.000909181405372817,2.462785090457672e-05
117,0.002053530591677097,5.4918317253925514e-05
118,0.001315634451140622,3.461853246082938e-05
119,0.0006485285477684881,1.3435412842558509e-05
120,0.0010306535383476402,3.401684007436776e-05
121,0.001009729123772823,3.090285494274046e-05
122,0.0012783451055167594,3.7307572343855334e-05
123,0.0009913998885384232,2.8527782558565386e-05
124,0.0014194236906774702,3.896234434743357e-05
125,0.001653956382477578,4.000490074092979e-05
126,0.0019117012068851306,5.1540706711958727e-05
127,0.0009040665804274547,2.1659086651471524e-05
128,0.0013412976952478053,3.771152173711416e-05
129,0.0020662381242136305,3.826460611126748e-05
130,0.0010003806882941091,3.289280935273135e-05
131,0.001103508069682295,3.1090571696359214e-05
132,0.0014094339908884274,3.186694058961364e-05
133,0.0006490930953578414,2.3584482835755396e-05
134,0.0012627139906021764,3.085303520271518e-05
135,0.0005110929215127286,1.3646472738961557e-05
136,0.0008124097882561793,2.3122175283068255e-05
137,0.0005678867827833564,1.5062316309938812e-05
138,0.0005352864943201324,2.1084423605559985e-05
139,0.0006350099835484762,2.2110347920443778e-05
140,0.0005843971741125827,2.0500904771526577e-05
141,0.0007014480400382607,2.027681324556178e-05
142,0.0007552444243087263,2.3398396325718424e-05
143,0.0006463963186736114,1.910645275959893e-05
144,0.00046667120901966057,1.2306206437564207e-05
145,0.0006185152727778326,1.5236261080636071e-05
146,0.0008541940284516359,2.535128465765806e-05
147,0.0006437023715576268,2.3289304057790417e-05
148,0.0006415516096040163,1.744195551169509e-05
149,0.0006676716876605232,1.1157603691085162e-05
