gen,sA,sB,sRail,pRail,Tmax,DeltaT
0,0.3518547028759184,0.32351249270167337,0.17184198448583038,0.19325554713739362,5.165259811909733,3.507793457658489
0,0.20807030439698382,0.30485681705693096,0.7742002799582186,0.06347472231499646,2.907419592309256,0.10458171428197849
0,0.6132774079300694,0.8876645340681295,0.7222335699098525,0.3350988371322704,1.4293367981293799,0.4784011778579519
0,0.6685690061180567,0.37852345799744797,0.11640704121578968,0.23022141503105295,5.9977725931417805,5.125480687518955
0,0.8916893603356695,0.8568614776571877,0.5793064677861063,0.09446264975906668,1.808177889123803,1.1541526662751103
0,0.7703163447655443,0.37159461528543397,0.29189346785079573,0.41882583243521654,3.3483117605008528,2.591236649132425
0,0.5886838876000478,0.90370209941624,0.10710534471448269,0.4020386611569417,3.747744489384767,2.757081512950588
0,0.9797415207093514,0.9617539188491828,0.43600672171361454,0.09453233660056001,2.0684027092238315,1.473156595491829
0,0.8503857584413399,0.11985441956472055,0.16168611503038766,0.28352915301360937,9.094912352722421,8.409120843651886
0,0.09258148157218249,0.5931975912527161,0.3101771454302974,0.3716461342388391,6.2991790264827445,3.809852365653004
0,0.37339282121492484,0.9153587955483226,0.5072326466504117,0.22242207207875572,1.7469126521095888,0.18505259866783552
0,0.62855275493622,0.5044747049829669,0.680714172433823,0.45400017791158653,2.174857166793102,1.2470315741891511
0,0.5199721155514503,0.7146636853409292,0.5164943023740755,0.1345145813575476,2.0440394351687763,0.9224651916743862
0,0.5776463815423069,0.49022237530935125,0.49449670884394425,0.3362530779457306,2.410698683645321,1.4011063952063691
0,0.33668987329609845,0.516552597329104,0.29580816468000537,0.43893714009139956,2.6298032549524084,0.8976830524110884
0,0.783677242663144,0.8545183914525047,0.673644607064658,0.3537740139252413,1.490800464511662,0.7466327118111037
0,0.5783977892750313,0.46855568699282735,0.8698699146668523,0.13883503736290212,2.0987200178800034,1.090439310268619
0,0.49202657069006983,0.20514626182119922,0.4970116449590228,0.2663289495344969,4.6195733516094455,3.4342972571575334
0,0.502225454189397,0.10845295186865561,0.7691493548102523,0.2796742834923723,7.724640251239078,6.563434009633024
0,0.2516124973415129,0.07506798562020058,0.1094474028462058,0.4019672380130302,14.34901783843462,12.031218297062827
0,0.6568933258786206,0.5846255723821469,0.17184198448583038,0.3363157961030746,3.521087992048665,2.633291892748162
0,0.3166171363196834,0.32627682050779944,0.05,0.06347472231499646,14.678857455967197,12.836925151871686
0,0.644161663732808,0.47812422307786073,0.05,0.3530597702778236,8.683483402270427,7.778140279280843
0,0.16119585373931183,0.5608179344964657,0.11640704121578968,0.4665675209474749,3.6549991603895617,0.0371186993658692
0,0.3159051293291687,1.0,1.0,0.2009857226418148,1.8460837677808417,0.6247580117917828
0,0.7703163447655443,0.05,0.6559027361552668,0.4665675209474749,18.85937364706281,18.102298535694384
0,0.7456268358850701,0.6350919601367848,0.114143598712219,0.2931531306011633,4.805898464223597,4.023754763903351
0,0.8335230241478734,0.5568234372080907,0.31502456514045274,0.0,3.3034488337633316,2.6037832988419565
0,0.48008634776863035,0.05,0.05,0.4665675209474749,23.17212817375121,21.957373089056173
0,0.15588166376020907,0.05,0.46606031745053134,0.2555773001566022,16.170860844041428,12.42964256698184
0,0.8366379461358043,0.4647252657413669,0.19905357275881422,0.17651794631222484,4.14842869412969,3.4513681134377814
0,0.5498361395478149,1.0,0.23754518888579246,0.45400017791158653,1.9504425679628894,0.8897859645640545
0,0.26054442982221304,0.7244564210851584,0.19379033159338654,0.34399747263235514,2.9787995614979623,0.7404583641099536
0,0.5548085605406199,0.05,1.0,0.28356269389719135,16.043826452058518,14.992675886465323
0,1.0,1.0,0.7405395761847486,0.11023149214062632,1.4596277847833168,0.8764404521071345
0,0.21053519226336218,0.6230822051215307,0.05,0.3731710779340066,7.900607133360971,5.130584106712641
0,0.05,0.05,0.05,0.20463374870210582,24.403794109382204,12.74004767746974
0,1.0,0.20514626182119922,0.716874478615257,0.14200742217712897,4.1082982108945245,3.5251108782183422
0,0.05,0.3908603395278985,0.8976380008647536,0.3072097024326072,11.663746431912465,9.181828751372773
0,0.2516124973415129,0.05,0.6978714969102728,0.281086107682994,16.19099527341425,13.873195732042456
1,0.20807030439698382,0.30485681705693096,0.7742002799582186,0.06347472231499646,2.907419592309256,0.10458171428197849
1,0.6132774079300694,0.8876645340681295,0.7222335699098525,0.3350988371322704,1.4293367981293799,0.4784011778579519
1,0.37339282121492484,0.9153587955483226,0.5072326466504117,0.22242207207875572,1.7469126521095888,0.18505259866783552
1,0.16119585373931183,0.5608179344964657,0.11640704121578968,0.4665675209474749,3.6549991603895617,0.0371186993658692
