sA,sB,sRail,pRail,pA_x,pA_y,pA_z,pB_x,pB_y,pB_z,Tmax,DeltaT
0.270229939026244,0.999585526650489,0.999584259103637,0.249952952166297,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28662281024163,8.30517576932977E-08
0.27015767499481,0.999347924223072,0.999204115797328,0.250244504133826,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28696688378235,4.14048242358689E-08
0.270151372991155,0.999610063142599,0.999179869267958,0.247595753956444,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28699690572851,3.30001070913966E-09
0.27035106628155,0.999994763941108,0.999995964685866,0.250501102244388,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28604627272596,8.44526100163279E-08
0.270151372991155,0.999610063142599,0.999179869267958,0.247595753956444,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28699690572851,3.30001070913966E-09
0.27015767499481,0.999347924223072,0.999204115797328,0.250244504133826,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28696688378235,4.14048242358689E-08
0.270352441791054,1,1,0.250489329792698,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28604104536122,1.31583070173136E-06
0.270352540009466,1,1,0.250492730914328,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28604074167113,1.47935566952029E-06
0.27035395223475,1,1,0.25065061069521,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28603254453996,5.89754159907585E-06
0.270352011522643,1,1,0.250475230705608,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28604230431024,5.28032342961282E-07
0.270221920940685,0.999776360071443,0.999565783089659,0.247845242891047,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28666090414841,4.58109199463763E-08
0.270352540009466,1,1,0.250492730914328,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28604074167113,1.47935566952029E-06
0.270358211812755,1,1,0.25065401181684,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.28602634342011,1.40607241796431E-05
0.27035122792972,0.999995287546997,0.999996368217279,0.250503704023252,0.0386540118168402,0.216844992374386,0.269013509462931,0.23865401181684,0.216844992374386,0.269013509462931,1.2860455037743,1.6721956952459E-07
