Métrica,Valor
Media Tmax,1.6548910553705043
Desviación típica,0.24959851715905607
Mejor valor (mínimo),1.160503809802091
Peor valor (máximo),2.085799073622344
IC 95% (low),1.5655733731008388
IC 95% (high),1.7442087376401698
Tiempo medio (s),1.488891363143921
